Author Name,Class,identity_group,outer_fold
Tanja Braun (1),1,1:Tanja Braun,2
Tardos Eva,1,1:Tardos Eva,3
Tardos Eva (1),1,1:Tardos Eva,3
Tetsu Narumi,1,1:Tetsu Narumi,4
Tetsu Narumi (1),1,1:Tetsu Narumi,4
Thierry Coquand,1,1:Thierry Coquand,2
Thierry Coquand (1),1,1:Thierry Coquand,2
Thomas A. Maier,1,1:Thomas A. Maier,4
Thomas A. Maier (1),1,1:Thomas A. Maier,4
Thomas Clark,1,1:Thomas Clark,3
Thomas Kluyver,1,1:Thomas Kluyver,1
Thomas Schulthess,1,1:Thomas Schulthess,3
Thomas W. Reps,1,1:Thomas W. Reps,5
Thomas Y. C. Woo,1,1:Thomas Y. C. Woo,1
Thuraisingham Bhavani,1,1:Thuraisingham Bhavani,2
Tim Berners-Lee,1,1:Tim Berners-Lee,3
Timo Schneider,1,1:Timo Schneider,4
Timothy B. Boykin,1,1:Timothy B. Boykin,5
"Tingjian Zhang,",1,"1:Tingjian Zhang,",1
Toby Murray,1,1:Toby Murray,4
Tomoaki Ishiyama,1,1:Tomoaki Ishiyama,2
Tomohiro Takaki,1,1:Tomohiro Takaki,5
"Torsten Hoefler,",1,"1:Torsten Hoefler,",3
Torvalds Linus,1,1:Torvalds Linus,1
Toshio Endo,1,1:Toshio Endo,2
Tsuyoshi Hamada,1,1:Tsuyoshi Hamada,3
Ullman Jeffrey,1,1:Ullman Jeffrey,5
Umesh Waghmare,1,1:Umesh Waghmare,4
V. Aho Alfred,1,1:V. Aho Alfred,5
V. Wilkes Maurice,1,1:V. Wilkes Maurice,3
VLADIMIR VAPNIK,1,1:VLADIMIR VAPNIK,1
Valentina Salapura,1,1:Valentina Salapura,2
Vernon Austel,1,1:Vernon Austel,4
Vikram Gavini,1,1:Vikram Gavini,5
Vinton Cerf,1,1:Vinton Cerf,1
Vishal Subramanian,1,1:Vishal Subramanian,5
Viswanathan Kumaran,1,1:Viswanathan Kumaran,2
Vitali A Morozov,1,1:Vitali A Morozov,3
W. Bemer Robert,1,1:W. Bemer Robert,4
W. Dunwell Stephen,1,1:W. Dunwell Stephen,2
W. Finin Timothy,1,1:W. Finin Timothy,1
W. Floyd Robert,1,1:W. Floyd Robert,4
W. Lampson Butler,1,1:W. Lampson Butler,3
W. Lawson Harold,1,1:W. Lawson Harold,5
W. Wah Benjamin,1,1:W. Wah Benjamin,3
Wallach Steve,1,1:Wallach Steve,1
"Wanwang Yin,",1,"1:Wanwang Yin,",2
Warren Teitelman,1,1:Warren Teitelman,4
Watanabe Tadashi,1,1:Watanabe Tadashi,5
Wei Xue,1,1:Wei Xue,1
"Wei Xue,",1,"1:Wei Xue,",2
"Weile Jia,",1,"1:Weile Jia,",5
Weimin Zheng,1,1:Weimin Zheng,3
Weiqun Zhang,1,1:Weiqun Zhang,4
"Wenqiang Zhang,",1,"1:Wenqiang Zhang,",1
Wenzhao Wu,1,1:Wenzhao Wu,2
Whitfield Diffie,1,1:Whitfield Diffie,3
William Camp,1,1:William Camp,4
William K. English,1,1:William K. English,5
Wirth Niklaus,1,1:Wirth Niklaus,2
Wolfgang Fichtner,1,1:Wolfgang Fichtner,1
Wu Xindong,1,1:Wu Xindong,5
Xin (Lucy) Liu,1,1:Xin (Lucy) Liu,3
A. Basu,0,0:A. Basu,5
A. C. Valente,0,0:A. C. Valente,2
A. Hirano,0,0:A. Hirano,3
A. I. Panasyuk,0,0:A. I. Panasyuk,4
A. M. Giese,0,0:A. M. Giese,1
A. P. Varga,0,0:A. P. Varga,2
A. Puglisi,0,0:A. Puglisi,3
A. Roos,0,0:A. Roos,5
Alan E Gelfand,0,0:Alan E Gelfand,1
Alexander Wynands,0,0:Alexander Wynands,4
Ali Nakisaee,0,0:Ali Nakisaee,4
Aline M. Marques,0,0:Aline M. Marques,1
Alnuweiri,0,0:Alnuweiri,2
Alvaro Luis de Bortoli,0,0:Alvaro Luis de Bortoli,3
Amirthalingam Ramanan,0,0:Amirthalingam Ramanan,5
Amos Israel,0,0:Amos Israel,1
An-Yi Chen,0,0:An-Yi Chen,2
AndrAÃŒÂƒÃ‚Â© Valente,0,0:AndrÃ© Valente,1
Andrew M. Parker,0,0:Andrew M. Parker,3
Andrew Taylor,0,0:Andrew Taylor,4
Andrzej Roslanowski,0,0:Andrzej Roslanowski,5
Angeliki Zavou,0,0:Angeliki Zavou,4
Anke Troltzsch,0,0:Anke Troltzsch,2
Anne P. Leigh,0,0:Anne P. Leigh,3
Annette Aboulafia,0,0:Annette Aboulafia,5
Anon,0,0:Anon,1
Atsuki Inada,0,0:Atsuki Inada,2
Atsushi Toyama,0,0:Atsushi Toyama,1
Ayanendranath Basu,0,0:Ayanendranath Basu,3
B. B. Broms,0,0:B. B. Broms,5
B. Meandzija,0,0:B. Meandzija,4
B. P. Sarkar,0,0:B. P. Sarkar,1
B. Schnabel,0,0:B. Schnabel,2
Bai Zhang,0,0:Bai Zhang,3
Barbara Simons,0,0:Barbara Simons,4
Bart Jongejan,0,0:Bart Jongejan,5
Ben Niu,0,0:Ben Niu,1
Benoit Gosselin,0,0:Benoit Gosselin,2
Bernhard Rumpe,0,0:Bernhard Rumpe,3
Bernhard Selk,0,0:Bernhard Selk,5
Bernhard Selk (1),0,0:Bernhard Selk,5
Bill Cheng,0,0:Bill Cheng,4
Bill Cheng (1),0,0:Bill Cheng,4
Bin-Jun Wang,0,0:Bin-Jun Wang,1
Bin-Jun Wang (1),0,0:Bin-Jun Wang,1
Bo Yang,0,0:Bo Yang,2
Bo Yang (1),0,0:Bo Yang,2
Bo You,0,0:Bo You,3
Bo You (1),0,0:Bo You,3
Bradley Jones,0,0:Bradley Jones,2
Bradley Jones (1),0,0:Bradley Jones,2
Brian Parfett,0,0:Brian Parfett,4
Brian Parfett (1),0,0:Brian Parfett,4
Bruno Cuervo Parrino,0,0:Bruno Cuervo Parrino,5
Bruno Cuervo Parrino (1),0,0:Bruno Cuervo Parrino,5
C. Annal Deva Priya Darshini,0,0:C. Annal Deva Priya Darshini,4
C. Annal Deva Priya Darshini (1),0,0:C. Annal Deva Priya Darshini,4
C. D. Yan,0,0:C. D. Yan,1
C. D. Yan (1),0,0:C. D. Yan,1
C. G. Zhang,0,0:C. G. Zhang,2
C. H. Calisher,0,0:C. H. Calisher,3
C. I. Chang,0,0:C. I. Chang,5
Caikou Chen,0,0:Caikou Chen,3
Camilla Silversjo Holmqvist,0,0:Camilla Silversjo Holmqvist,5
Carl Bruninx,0,0:Carl Bruninx,1
Carl Christian Liebe,0,0:Carl Christian Liebe,2
Cedric Teyssie,0,0:Cedric Teyssie,3
Chang-Heon Kim,0,0:Chang-Heon Kim,4
Changseob Park,0,0:Changseob Park,2
Chao-Shi Chen,0,0:Chao-Shi Chen,1
Charlie C. Chen,0,0:Charlie C. Chen,3
Chen Weirong,0,0:Chen Weirong,4
Cheng-Chin Chiang,0,0:Cheng-Chin Chiang,5
Cheng-Wen Wei,0,0:Cheng-Wen Wei,1
Cheryl S. Scott,0,0:Cheryl S. Scott,2
Chi-geun Lee,0,0:Chi-geun Lee,4
Chia-Yun Wu,0,0:Chia-Yun Wu,5
Chiho Matsumoto,0,0:Chiho Matsumoto,3
Chijun Zhang,0,0:Chijun Zhang,1
Chin-Min Hsiung,0,0:Chin-Min Hsiung,3
Christian Meusel,0,0:Christian Meusel,2
Christina-Maria Kastorini,0,0:Christina-Maria Kastorini,4
Christophe Aubrun,0,0:Christophe Aubrun,5
Christophe Dessimoz,0,0:Christophe Dessimoz,2
Chungte Teng,0,0:Chungte Teng,1
Chunxia Yu,0,0:Chunxia Yu,3
ClAÃŒÂƒÃ‚Â¡udia J. Barenco Abbas,0,0:ClÃ¡udia J. Barenco Abbas,5
Colin Dixon,0,0:Colin Dixon,4
Congcong Zhang,0,0:Congcong Zhang,4
D. Bruschi,0,0:D. Bruschi,1
D. Gaudrau,0,0:D. Gaudrau,2
D. R. Goucher,0,0:D. R. Goucher,3
D. Wessel,0,0:D. Wessel,5
D. Yen,0,0:D. Yen,3
Daehee Kim,0,0:Daehee Kim,5
Daniele Cenni,0,0:Daniele Cenni,1
David Brett,0,0:David Brett,2
David Carl,0,0:David Carl,4
David J. Brown,0,0:David J. Brown,1
David J. Taylor,0,0:David J. Taylor,3
Derek Lackaff,0,0:Derek Lackaff,5
Detlef HAÃŒÂƒÃ‚Â¼hnlein,0,0:Detlef HÃ¼hnlein,2
Deyou Tang,0,0:Deyou Tang,4
Dimitris Stavrinoudis,0,0:Dimitris Stavrinoudis,1
Domenico Raucci,0,0:Domenico Raucci,2
Dongping Hu,0,0:Dongping Hu,4
E. Dimitriadou,0,0:E. Dimitriadou,3
E. Koutsoloukas,0,0:E. Koutsoloukas,5
E. W. Kamen,0,0:E. W. Kamen,1
Edgard Lawson,0,0:Edgard Lawson,3
Ekaterina Kutsy,0,0:Ekaterina Kutsy,2
Elyes Ben Hamida,0,0:Elyes Ben Hamida,4
Emad Al-Hammadi,0,0:Emad Al-Hammadi,5
Emi Kaneko,0,0:Emi Kaneko,4
Enrique FernAÃŒÂƒÃ‚Â¡ndez,0,0:Enrique FernÃ¡ndez,1
Eric Salmon,0,0:Eric Salmon,2
Esther J.G. van der Drift,0,0:Esther J.G. van der Drift,3
Estrin Gerald,0,0:Estrin Gerald,5
Eva MarAÃŒÂƒÃ‚Â­a De la Plaza HernAÃŒÂƒÃ‚Â¡ndez,0,0:Eva MarÃ­a De la Plaza HernÃ¡ndez,1
Evans David,0,0:Evans David,2
F De Hoog,0,0:F De Hoog,3
F. Paradis,0,0:F. Paradis,4
Fang Dong,0,0:Fang Dong,5
Fangfang Dong,0,0:Fangfang Dong,1
Feng Minyi,0,0:Feng Minyi,2
Filip Krynicki,0,0:Filip Krynicki,3
Francisco J. Andujar,0,0:Francisco J. Andujar,4
Frederick L. Crabbe,0,0:Frederick L. Crabbe,5
Fu-Mei Lin,0,0:Fu-Mei Lin,5
G. Matsumoto,0,0:G. Matsumoto,1
G. S. Biradar,0,0:G. S. Biradar,4
G. Williams,0,0:G. Williams,2
Gabriela Carneiro,0,0:Gabriela Carneiro,3
Gail Lyons,0,0:Gail Lyons,4
Gamba Jonah,0,0:Gamba Jonah,1
Gang Chen,0,0:Gang Chen,2
Gaowen Liu,0,0:Gaowen Liu,3
Gary S. Robinson,0,0:Gary S. Robinson,4
Ge-fei Yu,0,0:Ge-fei Yu,5
Gieseke Wolfram,0,0:Gieseke Wolfram,2
Gongyi Shi,0,0:Gongyi Shi,3
Gottfried Mayer,0,0:Gottfried Mayer,1
Granville Sewell,0,0:Granville Sewell,5
Gregory Bell,0,0:Gregory Bell,4
Guo-Dong Guo,0,0:Guo-Dong Guo,4
Guohua Wu,0,0:Guohua Wu,1
H J Hay,0,0:H J Hay,2
H. Guermoud,0,0:H. Guermoud,3
H. Nabavi,0,0:H. Nabavi,5
H. Seidel,0,0:H. Seidel,2
Haifeng Dang,0,0:Haifeng Dang,1
Hajime Seya,0,0:Hajime Seya,3
Hari Lalgudi,0,0:Hari Lalgudi,4
Harsh Jain,0,0:Harsh Jain,5
Hasmik Gharibyan,0,0:Hasmik Gharibyan,5
Hassan Khan,0,0:Hassan Khan,1
Hayato Komori,0,0:Hayato Komori,2
He Zhang,0,0:He Zhang,3
Hee Beng Kuan Tan,0,0:Hee Beng Kuan Tan,4
Hee-Suk Pang,0,0:Hee-Suk Pang,2
Henk Post,0,0:Henk Post,4
Henner Graubitz,0,0:Henner Graubitz,1
Henny C. van der Mei,0,0:Henny C. van der Mei,3
Hirochika Asai,0,0:Hirochika Asai,5
Hong Guo,0,0:Hong Guo,1
Hongbin Xia,0,0:Hongbin Xia,2
Hongping Hong,0,0:Hongping Hong,4
Huaibin Wang,0,0:Huaibin Wang,3
Huiya Dai,0,0:Huiya Dai,5
Hung-Wei Hsu,0,0:Hung-Wei Hsu,5
Hussein O. Hamshari,0,0:Hussein O. Hamshari,1
Hyunjeong Park,0,0:Hyunjeong Park,2
Igor Gashinsky,0,0:Igor Gashinsky,3
Indira Kuruganti,0,0:Indira Kuruganti,4
Insoo Cho,0,0:Insoo Cho,3
Inverardi Pierluigi,0,0:Inverardi Pierluigi,1
Irina Zhelavskaya,0,0:Irina Zhelavskaya,4
Irwin Brown,0,0:Irwin Brown,2
J E Yukich,0,0:J E Yukich,5
J L Munoz,0,0:J L Munoz,1
J. Baranger,0,0:J. Baranger,2
J. Bradley,0,0:J. Bradley,3
"J. Edward Swan, II",0,"0:J. Edward Swan, II",4
J. Gessner,0,0:J. Gessner,5
J. Ghent,0,0:J. Ghent,1
J. L. F. Salles,0,0:J. L. F. Salles,3
J. MacDougall,0,0:J. MacDougall,2
J. R. Burch,0,0:J. R. Burch,5
J. S. Chang,0,0:J. S. Chang,4
J. S.J. Li,0,0:J. S.J. Li,1
J. Talavage,0,0:J. Talavage,2
J. Zhu,0,0:J. Zhu,3
J.-P. Le Cadre,0,0:J.-P. Le Cadre,4
Jack S. Eddy Tan,0,0:Jack S. Eddy Tan,5
Jae-An Yi,0,0:Jae-An Yi,4
James C. Morelock,0,0:James C. Morelock,1
James G. Hay,0,0:James G. Hay,2
James Gaskin,0,0:James Gaskin,3
James H. Ripper,0,0:James H. Ripper,5
James S. Crabbe,0,0:James S. Crabbe,1
James Solderitsch,0,0:James Solderitsch,2
Jan Neerbek,0,0:Jan Neerbek,3
Jaroslav Keznikl,0,0:Jaroslav Keznikl,4
Jason Denton,0,0:Jason Denton,5
Jean-Christophe Zapalowicz,0,0:Jean-Christophe Zapalowicz,1
Jean-Yves Lazennec,0,0:Jean-Yves Lazennec,4
Jedrzej Ulasiewicz,0,0:Jedrzej Ulasiewicz,2
Jeff D'Agostino,0,0:Jeff D'Agostino,3
Jeff Sidell,0,0:Jeff Sidell,5
Jeff Stanley,0,0:Jeff Stanley,5
Jenny Ching-Chih Chou,0,0:Jenny Ching-Chih Chou,1
Ji Liu,0,0:Ji Liu,2
Ji-Hong Chen,0,0:Ji-Hong Chen,3
Jia-Chun Lin,0,0:Jia-Chun Lin,4
Jian-hua Luo,0,0:Jian-hua Luo,1
Jian-long Zhang,0,0:Jian-long Zhang,3
Jianbin Fang,0,0:Jianbin Fang,2
Jiancong Chen,0,0:Jiancong Chen,4
Jianying Gu,0,0:Jianying Gu,5
Jiayi Ma,0,0:Jiayi Ma,1
Jicheng Liu,0,0:Jicheng Liu,5
Jie Shen,0,0:Jie Shen,2
Jin-Quan Huang,0,0:Jin-Quan Huang,3
Jin-liang Liu,0,0:Jin-liang Liu,4
Jingtao Wang,0,0:Jingtao Wang,2
Jinkun Lin,0,0:Jinkun Lin,1
Jintao Xue,0,0:Jintao Xue,4
Jiong Xie,0,0:Jiong Xie,3
Joddat Fatima,0,0:Joddat Fatima,5
Joel Chan,0,0:Joel Chan,3
Joerg Berdux,0,0:Joerg Berdux,1
John C. Phillips,0,0:John C. Phillips,2
John R. Mackay,0,0:John R. Mackay,4
Jonathan Hale,0,0:Jonathan Hale,5
Joo Tan,0,0:Joo Tan,1
Jorge A. Kittl,0,0:Jorge A. Kittl,5
Joseph Fiedler,0,0:Joseph Fiedler,2
Jr-Jen Huang,0,0:Jr-Jen Huang,3
Juan Jin,0,0:Juan Jin,4
Jue Dai,0,0:Jue Dai,1
Juhua Chen,0,0:Juhua Chen,2
Julio Guerra,0,0:Julio Guerra,3
Jun Zhu,0,0:Jun Zhu,5
Jun-Rak Lee,0,0:Jun-Rak Lee,4
Junyu Lin,0,0:Junyu Lin,1
K. Hay,0,0:K. Hay,2
K. M. C. Tan,0,0:K. M. C. Tan,5
K. M. Maniruzzaman,0,0:K. M. Maniruzzaman,3
K. Mazuruk,0,0:K. Mazuruk,4
K. N. Goh,0,0:K. N. Goh,5
K. Okamoto,0,0:K. Okamoto,1
K. V. S. Hari,0,0:K. V. S. Hari,2
Kai Bu,0,0:Kai Bu,3
Karin Gebel,0,0:Karin Gebel,4
Kathryn Bolster,0,0:Kathryn Bolster,5
Kazuhiro Ando,0,0:Kazuhiro Ando,5
Kean Soon Tan,0,0:Kean Soon Tan,1
Keji Chen,0,0:Keji Chen,1
Kevin,0,0:Kevin,3
Keyou Guo,0,0:Keyou Guo,2
Khairuddin Kamaludin,0,0:Khairuddin Kamaludin,4
Ki-Seng Tan,0,0:Ki-Seng Tan,5
Kiki Karadimou,0,0:Kiki Karadimou,1
King-Leung Wong,0,0:King-Leung Wong,2
Koichiro Ishihara,0,0:Koichiro Ishihara,3
Krishna P. Gummadi,0,0:Krishna P. Gummadi,4
Kuan-Yu Su,0,0:Kuan-Yu Su,1
Kunpeng Zhang,0,0:Kunpeng Zhang,4
Kwangjae Sung,0,0:Kwangjae Sung,2
L R Bragg,0,0:L R Bragg,5
L. Amiot,0,0:L. Amiot,3
L. Duxbury,0,0:L. Duxbury,1
L. F. Pau,0,0:L. F. Pau,2
L. K. Welbourn,0,0:L. K. Welbourn,3
L. L. Rauch,0,0:L. L. Rauch,4
L. Podoshin,0,0:L. Podoshin,5
L. White,0,0:L. White,3
Lan Yu-Qing,0,0:Lan Yu-Qing,4
Larry Hanson,0,0:Larry Hanson,5
Lei Zhang,0,0:Lei Zhang,1
Li Gang Zheng,0,0:Li Gang Zheng,2
Lijun Qin,0,0:Lijun Qin,2
Lillian R Brazin,0,0:Lillian R Brazin,3
Linjian Mo,0,0:Linjian Mo,1
Lisa Gottesfeld Brown,0,0:Lisa Gottesfeld Brown,5
Liu Zuyuan,0,0:Liu Zuyuan,4
LluAÃŒÂƒÃ‚Â­s A. Belanche MuAÃŒÂƒÃ‚Â±oz,0,0:LluÃ­s A. Belanche MuÃ±oz,1
Lluis Capdevila,0,0:Lluis Capdevila,5
Long Chi,0,0:Long Chi,2
Lunming Qin,0,0:Lunming Qin,3
Lute Kamstra,0,0:Lute Kamstra,4
Lyle Harold Ramshaw,0,0:Lyle Harold Ramshaw,1
Lyn Hay,0,0:Lyn Hay,5
Lynn Wu,0,0:Lynn Wu,2
M Weck,0,0:M Weck,3
M. Bennett,0,0:M. Bennett,4
M. Cope,0,0:M. Cope,2
M. Fujii,0,0:M. Fujii,3
M. Gromova,0,0:M. Gromova,1
M. J. Gutnick,0,0:M. J. Gutnick,5
M. Mahmud,0,0:M. Mahmud,4
M. Matsumoto,0,0:M. Matsumoto,1
M. Nicole Lemaster,0,0:M. Nicole Lemaster,4
M. Pegman,0,0:M. Pegman,5
M. Pessa,0,0:M. Pessa,2
M. Teramoto,0,0:M. Teramoto,3
M. Wasserblat,0,0:M. Wasserblat,2
MAÃŒÂƒÃ‚Â©lanie Jacquel,0,0:MÃ©lanie Jacquel,4
Makoto Akimoto,0,0:Makoto Akimoto,1
Manabu Takabe,0,0:Manabu Takabe,3
Manuel Blum,0,0:Manuel Blum,4
Manuel Sequeira,0,0:Manuel Sequeira,5
Maodi Hu,0,0:Maodi Hu,3
Marc Krellenstein,0,0:Marc Krellenstein,5
Marcelo Saval-Calvo,0,0:Marcelo Saval-Calvo,1
Margarete Buch,0,0:Margarete Buch,2
Mariana Stoeva,0,0:Mariana Stoeva,4
Marius Marcu,0,0:Marius Marcu,1
Mark D. Scott,0,0:Mark D. Scott,2
Mark Miesch,0,0:Mark Miesch,4
Marouene Kefi,0,0:Marouene Kefi,3
Martina E. Bachlechner,0,0:Martina E. Bachlechner,5
Masahiko Fuji,0,0:Masahiko Fuji,1
Masoud Shafiee,0,0:Masoud Shafiee,2
Masoud Shafiee (1),0,0:Masoud Shafiee,2
Matt Visich,0,0:Matt Visich,3
Matt Visich (1),0,0:Matt Visich,3
Mehrdad Manaffar,0,0:Mehrdad Manaffar,4
Mei Han,0,0:Mei Han,5
Meifeng Gao,0,0:Meifeng Gao,3
"Melvin B. Greer, Jr.",0,"0:Melvin B. Greer, Jr.",1
Miaoqi Fang,0,0:Miaoqi Fang,2
Mic Bowman,0,0:Mic Bowman,5
Michael Geilke,0,0:Michael Geilke,4
Michael Lane,0,0:Michael Lane,4
Michael Odawa,0,0:Michael Odawa,1
Michelle Vaughan,0,0:Michelle Vaughan,2
Miguel A. MuAÃŒÂƒÃ‚Â±oz,0,0:Miguel A. MuÃ±oz,3
Miguel A. Otaduy,0,0:Miguel A. Otaduy,5
Mihnea Bratu,0,0:Mihnea Bratu,3
Milica Milutinovic,0,0:Milica Milutinovic,5
Min Cao,0,0:Min Cao,1
Ming Liang,0,0:Ming Liang,2
Ming-Long Fan,0,0:Ming-Long Fan,4
Mitsuomi Matsumoto,0,0:Mitsuomi Matsumoto,2
Mohamed Moosa,0,0:Mohamed Moosa,1
Mu Zhou,0,0:Mu Zhou,4
Myeng Ki Kim,0,0:Myeng Ki Kim,3
N. Bertrand,0,0:N. Bertrand,5
N. Buard,0,0:N. Buard,5
N. G. Zagoruiko,0,0:N. G. Zagoruiko,3
N. J. Willson,0,0:N. J. Willson,1
N. Jegou,0,0:N. Jegou,2
N. Kotilainen,0,0:N. Kotilainen,4
N. Navet,0,0:N. Navet,5
N. Redon,0,0:N. Redon,1
Nabiel A. Elshiewy,0,0:Nabiel A. Elshiewy,2
Nadine Zimmermann,0,0:Nadine Zimmermann,3
Nanjian Wu,0,0:Nanjian Wu,4
Naofumi Yamada,0,0:Naofumi Yamada,5
Navid Amini,0,0:Navid Amini,4
Nerute Kligiene,0,0:Nerute Kligiene,1
Nilakantan Nagarajan,0,0:Nilakantan Nagarajan,2
Nimish R. Shah,0,0:Nimish R. Shah,3
Norbert Siegmund,0,0:Norbert Siegmund,5
Olariu,0,0:Olariu,1
Olof Damberg,0,0:Olof Damberg,4
P. Deepa,0,0:P. Deepa,3
P. R. Shepherd,0,0:P. R. Shepherd,2
P. Salama,0,0:P. Salama,5
P. Winkler,0,0:P. Winkler,1
Parag Pruthi,0,0:Parag Pruthi,2
Patrick J. Altomari,0,0:Patrick J. Altomari,4
Paul J. Edwards,0,0:Paul J. Edwards,3
Paul Kohlbrenner,0,0:Paul Kohlbrenner,5
Paul Tanner,0,0:Paul Tanner,3
Pedro Vasconcelos,0,0:Pedro Vasconcelos,1
Pen-Jung Tzou,0,0:Pen-Jung Tzou,2
Pengfei Wang,0,0:Pengfei Wang,5
Peter Mccullagh,0,0:Peter Mccullagh,4
Peter Seats,0,0:Peter Seats,4
Peter Teufl,0,0:Peter Teufl,1
Petr Kastovsky,0,0:Petr Kastovsky,2
Philippe C. Besse,0,0:Philippe C. Besse,3
Philippe Gaudreau,0,0:Philippe Gaudreau,5
Philippe Marrast,0,0:Philippe Marrast,5
Pierre Marcotte,0,0:Pierre Marcotte,4
Prisca K.G. Tibenderana,0,0:Prisca K.G. Tibenderana,1
Qian Huang,0,0:Qian Huang,2
Qian Xiao,0,0:Qian Xiao,3
Quan Guo,0,0:Quan Guo,1
Quentin L. Burrell,0,0:Quentin L. Burrell,2
Qun Shi,0,0:Qun Shi,3
R. D. Morris,0,0:R. D. Morris,4
R. L. Virta,0,0:R. L. Virta,5
R. R. Wagner,0,0:R. R. Wagner,1
R. Rajaram,0,0:R. Rajaram,2
R. S. Bridger,0,0:R. S. Bridger,4
R. T. Hofmeister,0,0:R. T. Hofmeister,3
R. Tellez-Giron,0,0:R. Tellez-Giron,5
Ratul Kumar Baruah,0,0:Ratul Kumar Baruah,5
Renjing Wang,0,0:Renjing Wang,4
Rhew Ray D.,0,0:Rhew Ray D.,3
Rho-Taek Jung,0,0:Rho-Taek Jung,1
Rich Nolan,0,0:Rich Nolan,2
Richard Orton,0,0:Richard Orton,1
Riku Nortje,0,0:Riku Nortje,4
Ritesh Turakhia,0,0:Ritesh Turakhia,2
Robert Thomas,0,0:Robert Thomas,3
Roberta M. Melvin,0,0:Roberta M. Melvin,5
Roger Busi,0,0:Roger Busi,1
Roland Schirdewan,0,0:Roland Schirdewan,2
Rolf Dieter Grigorieff,0,0:Rolf Dieter Grigorieff,3
Romain Peyrichou,0,0:Romain Peyrichou,4
Rona S. Scott,0,0:Rona S. Scott,5
Ruben Coen Cagli,0,0:Ruben Coen Cagli,5
Ryan Williams,0,0:Ryan Williams,1
S H Tan,0,0:S H Tan,2
S. Brus,0,0:S. Brus,3
S. Engelund,0,0:S. Engelund,4
S. Gorgin,0,0:S. Gorgin,1
S. J. McNab,0,0:S. J. McNab,2
S. K. C. Subas,0,0:S. K. C. Subas,4
S. K. Moon,0,0:S. K. Moon,3
S. Ruiz-Correa,0,0:S. Ruiz-Correa,5
Sabrine Saad,0,0:Sabrine Saad,1
Sankaran N. Nair,0,0:Sankaran N. Nair,2
Saqib Ali,0,0:Saqib Ali,4
Sara Nazari,0,0:Sara Nazari,3
Scott Edward Parker,0,0:Scott Edward Parker,5
Scott L. Summers,0,0:Scott L. Summers,3
Scott deLahunta,0,0:Scott deLahunta,4
Seiro Omata,0,0:Seiro Omata,1
Selma Mouline,0,0:Selma Mouline,2
Seokhee Lee,0,0:Seokhee Lee,5
Sergei Startchik,0,0:Sergei Startchik,4
Seung Ki Min,0,0:Seung Ki Min,1
Seunghwan Yun,0,0:Seunghwan Yun,2
Shadi Ebrahimi Mehrabani,0,0:Shadi Ebrahimi Mehrabani,3
Shanshan Xu,0,0:Shanshan Xu,5
Sharat Chandran,0,0:Sharat Chandran,4
Shawn Brown,0,0:Shawn Brown,5
Sheu-sheu Tan,0,0:Sheu-sheu Tan,1
Shigeo Kamiya,0,0:Shigeo Kamiya,2
Shigeru Tajima,0,0:Shigeru Tajima,3
Shin'Ichi Fukuzumi,0,0:Shin'Ichi Fukuzumi,1
Shiping Tang,0,0:Shiping Tang,2
Shiwen Chen,0,0:Shiwen Chen,5
Shixi Fan,0,0:Shixi Fan,3
Shu-lin Li,0,0:Shu-lin Li,4
Shuo Hung Jian,0,0:Shuo Hung Jian,3
Shuo-Wen Tseng,0,0:Shuo-Wen Tseng,4
Siddharth Barman,0,0:Siddharth Barman,5
Simone C. dos Santos,0,0:Simone C. dos Santos,1
Simone Turrin,0,0:Simone Turrin,2
Sk. Md. Mizanur Rahman,0,0:Sk. Md. Mizanur Rahman,1
Sonia Guehis,0,0:Sonia Guehis,3
Soohan Kim,0,0:Soohan Kim,4
Spencer,0,0:Spencer,2
Stefka P. Stoeva,0,0:Stefka P. Stoeva,5
Stuart B Greenfield,0,0:Stuart B Greenfield,1
Su Wang,0,0:Su Wang,2
Su Zhanghua,0,0:Su Zhanghua,3
Sugie,0,0:Sugie,4
Sumit Gulwani,0,0:Sumit Gulwani,5
Sun Xiaohan,0,0:Sun Xiaohan,1
Suresh G. Chandran,0,0:Suresh G. Chandran,2
Susan Folkes,0,0:Susan Folkes,3
Suyun Chen,0,0:Suyun Chen,4
Suzanne Bakken,0,0:Suzanne Bakken,5
Sylvan H. Chasen,0,0:Sylvan H. Chasen,5
T. Ackemann,0,0:T. Ackemann,1
T. K. Tan,0,0:T. K. Tan,2
T. Krygowski,0,0:T. Krygowski,3
Ta-Hsin Li,0,0:Ta-Hsin Li,4
Taisuke Sato,0,0:Taisuke Sato,3
Takashi Tomine,0,0:Takashi Tomine,4
Tan Haiyuan,0,0:Tan Haiyuan,1
Tang Zhiwen,0,0:Tang Zhiwen,2
Tang Zhonglin,0,0:Tang Zhonglin,5
Ten-Chuan Hsiao,0,0:Ten-Chuan Hsiao,2
Tengfei Ji,0,0:Tengfei Ji,2
Thomas M. Chen,0,0:Thomas M. Chen,3
Tian Jiang,0,0:Tian Jiang,1
Tianjun Shi,0,0:Tianjun Shi,4
Tianlin Yu,0,0:Tianlin Yu,5
Tick,0,0:Tick,1
Tiegang Gao,0,0:Tiegang Gao,2
Tien-Szu Pan,0,0:Tien-Szu Pan,3
Todd A. Coram,0,0:Todd A. Coram,4
Tomoyuki Yoda,0,0:Tomoyuki Yoda,5
Trias Thireou,0,0:Trias Thireou,2
